p,"size","error"
0.5000000,100,0.4996480
0.5000000,200,0.4998080
0.5000000,500,0.4995800
0.5000000,1000,0.4995060
0.3500000,100,0.3511620
0.3500000,200,0.3516960
0.3500000,500,0.3517740
0.3500000,1000,0.3517600
0.2450000,100,0.2450530
0.2450000,200,0.2453050
0.2450000,500,0.2452270
0.2450000,1000,0.2456490
0.1715000,100,0.1721880
0.1715000,200,0.1724900
0.1715000,500,0.1723660
0.1715000,1000,0.1726800
0.1200500,100,0.1200900
0.1200500,200,0.1196140
0.1200500,500,0.1195490
0.1200500,1000,0.1197210
0.0840350,100,0.0842960
0.0840350,200,0.0849440
0.0840350,500,0.0852680
0.0840350,1000,0.0855040
0.0588245,100,0.0583460
0.0588245,200,0.0586280
0.0588245,500,0.0590830
0.0588245,1000,0.0595450
0.0411771,100,0.0414480
0.0411771,200,0.0414800
0.0411771,500,0.0414220
0.0411771,1000,0.0417050
0.0288240,100,0.0287060
0.0288240,200,0.0285320
0.0288240,500,0.0284690
0.0288240,1000,0.0282690
0.0201768,100,0.0199320
0.0201768,200,0.0197880
0.0201768,500,0.0196690
0.0201768,1000,0.0193690
0.0141238,100,0.0140500
0.0141238,200,0.0140980
0.0141238,500,0.0142240
0.0141238,1000,0.0143500
0.0098866,100,0.0098860
0.0098866,200,0.0098320
0.0098866,500,0.0100180
0.0098866,1000,0.0098980
0.0069206,100,0.0070140
0.0069206,200,0.0069800
0.0069206,500,0.0068580
0.0069206,1000,0.0069240
