22,151,509
30,140,212
77,173,488
308,379,407
141,161,186
144,434,550
161,445,582
113,256,474
204,287,304
9,95,256
275,415,540
80,252,591
135,154,460
2,346,454
20,97,308
0,122,331
505,553,583
84,342,460
44,64,67
263,284,323
552,554,557
445,461,480
88,366,470
553,592,593
445,475,578
120,168,400
205,353,387
133,252,281
248,401,440
154,390,483
313,482,498
153,251,353
70,173,215
57,170,226
280,458,516
77,361,453
207,254,480
75,116,119
37,213,305
10,20,190
112,499,512
107,218,327
568,591,592
83,227,358
180,365,441
554,558,593
48,575,587
413,557,559
323,370,390
142,236,259
101,163,559
110,189,200
98,165,175
4,150,515
159,359,555
207,274,363
170,238,489
187,419,426
134,256,479
8,334,487
43,72,163
58,192,446
17,131,522
68,151,487
28,170,235
150,276,380
383,410,495
30,274,327
46,532,584
269,292,374
58,227,235
67,183,241
11,51,414
131,446,588
40,168,541
89,179,300
387,390,410
24,205,342
68,296,437
64,82,261
110,172,212
112,279,435
269,312,362
185,330,420
263,468,471
482,483,513
18,117,306
55,215,322
239,299,356
28,64,99
564,576,583
332,342,343
303,346,514
125,191,229
280,335,412
66,324,416
284,559,560
115,448,568
60,133,302
19,507,513
23,379,508
84,331,339
24,496,530
94,240,332
41,288,348
354,461,486
242,277,403
45,389,447
18,303,323
116,353,475
149,467,527
146,226,229
137,208,285
298,390,412
81,145,276
105,316,559
146,232,474
268,479,508
176,357,482
311,341,448
337,437,452
183,446,472
13,20,234
219,463,465
56,325,434
115,194,211
110,360,555
4,164,307
272,379,405
431,491,529
340,415,439
68,467,469
76,339,456
288,422,504
264,413,451
9,27,34
231,269,412
11,531,549
110,234,502
45,79,100
521,556,561
222,371,377
372,407,421
385,400,442
304,479,502
37,38,343
34,427,479
201,210,424
228,396,511
116,151,152
50,388,406
371,403,429
209,234,548
215,323,374
94,433,546
143,168,500
264,413,415
118,184,511
120,222,408
103,165,420
191,196,333
28,249,318
80,136,287
226,291,311
217,230,562
89,578,588
276,580,582
7,36,121
362,526,537
383,536,549
32,411,440
106,116,238
81,499,524
31,276,306
315,358,495
25,188,285
457,539,554
17,28,177
4,297,336
1,126,469
109,149,405
63,179,331
315,349,399
185,439,586
257,505,538
57,215,246
492,535,553
52,251,343
21,33,429
427,450,572
120,292,344
335,338,375
11,35,216
239,352,466
38,448,468
114,275,343
390,402,455
282,316,519
520,588,590
139,148,550
77,342,435
295,382,490
270,276,442
140,502,544
71,266,296
91,404,422
547,571,574
110,266,349
114,218,338
167,216,369
298,417,561
14,297,450
90,197,427
9,144,253
332,386,567
15,262,519
220,392,430
263,433,491
89,96,249
485,489,496
280,463,528
48,159,193
145,224,540
184,237,345
