253,266,296
194,420,424
104,281,377
31,81,103
164,204,380
59,96,325
74,115,118
34,241,391
156,345,396
235,301,343
22,43,45
4,90,305
140,264,304
136,191,214
9,110,161
288,321,409
147,200,322
46,164,314
194,242,251
245,353,414
283,342,394
226,323,324
115,193,343
107,145,307
100,362,389
98,115,288
54,114,223
120,368,407
39,372,403
69,113,145
160,423,425
49,260,267
38,123,159
266,303,348
39,106,132
64,212,285
38,77,268
9,270,274
123,151,170
237,248,410
11,18,98
54,185,201
72,142,148
22,125,209
24,84,94
249,250,258
238,321,382
245,299,344
53,73,260
94,282,307
7,162,330
47,291,367
242,282,319
36,205,237
205,224,244
389,412,415
14,235,303
348,352,420
325,383,407
234,422,423
87,154,396
176,197,250
351,381,400
256,282,310
217,242,341
353,372,373
332,334,366
335,354,357
26,219,224
361,412,424
6,95,304
110,276,390
23,144,230
346,402,425
138,160,196
200,406,408
32,80,147
73,163,253
277,367,386
379,381,382
72,319,398
14,223,278
54,183,227
123,135,362
41,106,231
44,218,245
370,386,405
38,44,49
109,155,239
118,188,277
53,226,229
182,242,298
123,273,326
101,126,164
95,199,265
181,221,250
175,347,423
126,191,228
129,198,331
117,135,182
114,153,190
10,40,147
90,203,228
277,369,394
17,59,204
200,317,421
66,312,319
129,306,419
78,172,278
86,154,313
196,201,281
210,316,366
162,229,266
14,174,225
66,104,162
51,52,267
148,186,326
31,97,287
179,358,382
315,397,419
7,165,321
184,211,302
167,340,370
56,190,197
80,337,388
7,30,134
194,351,358
5,122,283
108,217,239
7,194,220
21,182,262
28,293,300
62,239,246
400,413,415
8,384,409
98,246,269
89,104,214
33,297,387
12,28,414
151,175,221
43,169,173
253,356,359
49,290,305
32,108,250
5,100,196
91,135,202
259,307,325
54,151,184
118,332,408
84,94,259
198,215,282
39,58,103
306,373,411
112,280,412
98,117,157
50,207,275
4,110,359
200,219,390
34,119,200
18,208,337
13,64,75
90,229,270
48,132,269
183,214,238
56,121,237
192,210,243
181,215,263
165,181,192
247,389,390
30,389,405
55,67,95
10,167,230
295,383,384
168,204,267
220,405,411
23,75,169
109,203,232
70,384,391
325,411,425
62,103,147
33,158,361
256,318,319
14,32,140
291,293,346
133,137,357
97,146,268
25,134,260
322,367,404
145,418,428
72,145,156
97,315,393
42,55,96
24,133,355
90,130,249
167,212,240
156,208,273
131,141,261
5,92,149
65,190,233
192,244,294
256,294,309
269,335,422
90,111,224
152,178,267
201,219,285
236,275,324
76,148,161
212,222,271
197,348,407
66,191,310
43,99,173
51,58,297
138,226,240
247,306,400
165,313,332
60,116,243
46,189,201
82,124,404
42,204,346
35,109,174
126,321,378
150,217,401
351,363,406
106,280,346
216,245,273
193,294,317
132,187,238
0,24,175
50,259,369
364,380,413
300,377,426
144,305,318
120,231,344
190,272,368
36,187,287
213,277,327
2,79,280
60,121,297
243,378,417
15,20,107
191,209,311
63,75,301
327,358,378
113,299,349
119,283,285
120,218,261
19,22,81
212,276,278
61,155,197
307,375,412
77,148,357
419,421,425
62,227,288
11,128,179
10,311,340
202,249,341
152,327,328
31,152,334
153,236,257
116,182,257
92,129,217
89,400,405
234,245,349
19,125,231
26,36,59
279,302,319
138,178,216
210,344,399
340,399,400
1,26,114
129,243,342
7,74,308
35,105,164
34,71,166
122,199,300
55,225,258
236,304,356
355,418,419
26,55,120
379,401,411
216,293,317
94,141,304
128,186,373
9,87,178
302,337,379
339,411,418
96,119,290
192,252,343
108,136,196
158,386,401
147,176,204
34,45,333
158,308,309
116,186,427
112,124,190
3,116,365
141,299,323
206,317,331
166,265,278
187,205,303
89,253,296
321,331,378
313,321,344
78,134,146
139,308,337
331,365,419
118,125,303
350,374,407
182,338,385
172,211,362
191,278,290
72,150,366
2,38,237
97,107,156
119,150,292
373,395,413
47,88,238
93,183,254
169,275,324
222,355,356
82,102,155
78,273,356
124,291,333
25,356,414
227,421,426
3,116,169
57,104,105
0,245,279
91,96,315
23,96,101
195,204,247
201,241,361
172,182,351
275,383,385
71,367,403
232,325,367
23,136,415
46,53,170
11,83,331
88,91,99
287,290,399
118,244,255
168,229,273
10,65,75
193,252,312
37,112,247
165,330,354
40,108,259
49,69,266
19,71,85
15,73,99
329,332,368
91,105,216
34,130,166
62,177,205
5,125,218
70,73,157
391,393,417
417,422,424
270,296,427
18,35,240
286,410,416
38,69,94
170,196,366
132,183,227
79,377,403
211,229,251
16,88,142
168,312,424
367,370,388
145,336,339
16,51,216
246,358,361
138,366,376
114,155,374
53,185,396
20,46,71
325,427,428
25,127,369
50,397,398
127,249,309
84,110,305
218,260,327
59,70,128
81,358,417
87,285,293
252,305,314
93,207,269
301,317,405
68,216,309
152,178,191
46,268,309
114,224,282
97,122,328
76,157,214
302,345,401
21,30,36
299,417,420
27,253,255
160,256,334
82,210,406
159,255,287
188,311,375
184,185,222
241,392,404
0,111,198
355,388,393
28,35,120
56,184,247
137,167,254
6,113,270
275,349,386
66,279,350
322,334,385
43,171,385
134,234,253
13,48,292
124,220,337
57,143,176
4,115,274
255,261,289
161,163,175
107,273,358
27,157,199
57,93,266
292,341,371
140,347,374
26,207,347
265,308,333
29,109,219
