p,"size","error"
0.5000000,100,0.5004470
0.5000000,200,0.5004580
0.5000000,500,0.5003670
0.5000000,1000,0.5005750
0.3500000,100,0.3798220
0.3500000,200,0.4036880
0.3500000,500,0.4154340
0.3500000,1000,0.4202880
0.2450000,100,0.2936140
0.2450000,200,0.3335160
0.2450000,500,0.3527520
0.2450000,1000,0.3616880
0.1715000,100,0.2246940
0.1715000,200,0.2744670
0.1715000,500,0.3005950
0.1715000,1000,0.3123630
0.1200500,100,0.1636510
0.1200500,200,0.2149080
0.1200500,500,0.2453650
0.1200500,1000,0.2595090
0.0840350,100,0.1094690
0.0840350,200,0.1456690
0.0840350,500,0.1744670
0.0840350,1000,0.1883070
0.0588245,100,0.0643270
0.0588245,200,0.0753020
0.0588245,500,0.0859560
0.0588245,1000,0.0875520
0.0411771,100,0.0340690
0.0411771,200,0.0300840
0.0411771,500,0.0244520
0.0411771,1000,0.0167630
0.0288240,100,0.0167550
0.0288240,200,0.0106250
0.0288240,500,0.0053640
0.0288240,1000,0.0020450
0.0201768,100,0.0084200
0.0201768,200,0.0036440
0.0201768,500,0.0009450
0.0201768,1000,0.0002190
0.0141238,100,0.0038170
0.0141238,200,0.0012700
0.0141238,500,0.0002950
0.0141238,1000,0.0000450
0.0098866,100,0.0019200
0.0098866,200,0.0004500
0.0098866,500,0.0000580
0.0098866,1000,0.0000000
0.0069206,100,0.0008480
0.0069206,200,0.0001530
0.0069206,500,0.0000380
0.0069206,1000,0.0000400
